i,x,y,z,dx,dy,dz,radius,rmse,bend
138,-3.4375521521597667e-16,-34.29924425213959,-1.2276924537065034e-15,1.607802942734701e-16,1.0,-2.2888247497848873e-16,1.9999999999999991,1.0688876940041046e-15,0
139,3.3306690738754706e-16,-32.29150554464755,-4.365314950959982e-16,-1.5672061021978626e-16,1.0,3.127353914690514e-16,2.0,6.647089279781671e-16,0
140,-9.730632860160543e-16,-30.28376683715549,2.808944760368288e-17,1.2653028093185354e-16,1.0,1.05449344488739e-16,1.9999999999999991,8.35367280350461e-16,0
141,8.41146392781006e-16,-28.276028129663388,-1.3102033876582183e-17,3.3484020254930227e-16,1.0,-1.4346105595468403e-17,1.9999999999999993,6.158409296133417e-16,0
142,3.714799849493947e-16,-26.268289422171318,-2.9517015407898556e-17,-6.19145136417916e-17,1.0,-1.494419527830818e-17,1.9999999999999993,3.6950455776800505e-16,0
143,5.925300615926635e-16,-24.260550714679233,-7.311011250174151e-17,2.259677357629673e-18,1.0,6.741312762689586e-19,1.9999999999999998,5.288707661687597e-16,0
144,3.8055366834410767e-16,-22.252812007187188,-2.6810056493306126e-17,5.703804378908688e-17,1.0,2.243586243759646e-18,1.9999999999999998,4.3437526997637064e-16,0
145,8.215650382226167e-16,-20.24507329969512,-6.410104261135561e-17,-2.3355884784588874e-16,1.0,1.9111674726716239e-16,1.9999999999999993,6.158409296133417e-16,1
146,-5.572966102507801e-16,-18.23733459220303,7.406149257832197e-16,-9.91865042238393e-17,1.0,1.0144712666153114e-17,1.9999999999999996,6.618499515962918e-16,1
147,4.2328387064055845e-16,-16.229595884710957,-2.336517801891399e-17,1.830248855212887e-16,1.0,-1.8976161126179323e-16,1.9999999999999993,3.7333372281476483e-16,1
148,1.7763568394002486e-16,-14.221857177218823,-2.1368538469523914e-17,-4.2776527304212204e-17,1.0,-1.9298404914647362e-17,1.9999999999999993,2.463363718453367e-16,1
149,2.5151569135903974e-16,-12.214118469726765,-1.008574870989004e-16,1.1017925611603724e-16,1.0,6.66786042014095e-18,1.9999999999999993,2.5015576816627496e-16,1
150,6.200579984737279e-16,-10.206379762234661,5.406104453818874e-18,-1.8398810349006997e-17,1.0,1.9795640820386685e-17,1.9999999999999998,5.359939256369156e-16,1
151,1.7763568394002486e-16,-8.19864105474258,-2.136853846949867e-17,-2.3041055174301946e-16,1.0,2.0402223546489565e-16,1.9999999999999993,2.463363718453367e-16,1
152,-3.0515036822440167e-16,-6.190902347250519,8.24652783117684e-16,1.620983574291247e-16,1.0,1.8463319830481697e-16,1.9999999999999993,6.802185396739569e-16,1
153,8.285379772027052e-16,-4.183163639758419,7.200218993797858e-16,2.116619368445451e-16,1.0,-5.131867783407297e-16,1.9999999999999993,7.8202099177169e-16,1
154,5.447733587866754e-16,-2.1754249322663473,-1.2360371349780052e-15,-1.0754146938288839e-16,1.0,7.286567330736908e-16,2.0,1.117882760706259e-15,1
155,4.2003007117869923e-16,-0.3845554529057459,3.4879033310388303e-15,1.758002069173467e-17,1.0,1.0859518379031151e-15,1.9999999999999993,2.4106455826437216e-15,1
156,5.719729902655611e-16,-0.6282349740842301,4.441366436951089e-16,-0.2515747322116954,-0.9678378759444237,-1.3058915011448554e-15,2.0319628642457657,0.023903059696895636,1
157,-25.893519368241073,-100.00000000000003,-1.309219659767491e-13,-0.04515341832382338,-0.9989800642723927,4.856772245894878e-13,2.0302091953129406,0.02259244144988723,1
158,-4.13707504005297,-92.1574179868196,4.44994698573886e-11,0.2514091756394038,0.9678808947408329,1.2711928416937448e-15,2.089634142668225,0.06242466790041575,1
159,1.0525489837954118e-16,-0.3145265864582035,2.676624113323589e-18,0.044999500330964844,0.9989870094100141,-4.840264604199521e-13,2.000974502410125,0.0007292370934265356,1
