i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
46,5.591425490983025,78.9757712972697,2.9939106967103787e-09,0.8741595592170837,0.48563882158197613,1.3651463286729185e-06,-8.292741588578461e-07,-1.3183221090283025e-06,0.9999999999987872,0.48563882158318683,-0.8741595592171555,-7.496961484582082e-07,5.340797281657141e-07,-5.667239605222069e-07,0.25083903283009407,0.9680288113523567,-122.1714359046429,8.923564863039246e-05,151.22577064465702,2.000000071818432,5.778812590103571e-08,1
47,7.468747169554417,79.67402655819414,-3.5166395663533725e-10,0.9277224694140652,0.3732707057140553,-1.663243460104666e-11,3.116321631098436e-07,-7.744822271050891e-07,0.9999999999996516,0.37327070571392523,-0.9277224694137419,-8.34827721694447e-07,4.0980046600284055e-07,7.93593687397531e-08,0.1901019865571139,0.9817643478487414,-68.08138633351196,4.783210508207958e-05,89.99885848507347,2.001004188478764,0.0007065172537577518,1
48,8.58638677164549,79.89954734637669,1.9696198581008668e-10,0.9637873832490876,0.26667185807631844,-2.509072623377158e-11,2.226486147988623e-07,-8.045874681436799e-07,0.9999999999996515,0.2666718580762255,-0.9637873832487519,-8.348253703237372e-07,4.136148335960365e-07,5.617935000623284e-08,0.13455968332101928,0.990905490763056,-74.53195939687572,4.783197039159859e-05,89.9982779719345,2.0001110925690764,7.816088708316864e-05,1
49,9.437585845845028,79.98415801331244,-2.0388952158563858e-10,0.9841798731645264,0.1771721684064875,-3.2171505503407335e-11,1.4793901752286827e-07,-8.216100378828324e-07,0.9999999999996515,0.17717216840642575,-0.9841798731641835,-8.348227394006798e-07,4.1575578630174085e-07,3.713997868683868e-08,0.08893853730377756,0.9960371160665101,-79.79270225586734,4.783181964285177e-05,89.99779199655472,2.0000469786944257,3.3053524056043735e-05,1
50,10.726058963521123,80.0,-1.6209230868449794e-15,0.9943565846236954,0.10608950285254291,-1.1122368847873793e-10,8.867597885409929e-08,-8.300945655806289e-07,0.9999999999996516,0.10608950285250586,-0.994356584623349,-8.348175876570382e-07,4.168165209804463e-07,2.222818351070585e-08,0.05311974857011103,0.9985881494949127,-83.90242531635403,4.783152485288156e-05,89.99236641873938,2.0000140022151816,1.0478295543162509e-05,1
51,12.373047666904645,80.0,-1.3661171451506278e-15,0.998424015153382,0.05612028122701511,-9.387181885872678e-11,4.694363305574299e-08,-8.334915249859152e-07,0.9999999999996516,0.05612028122699548,-0.9984240151530341,-8.34812444861659e-07,4.1724041605818293e-07,1.1764012109855706e-08,0.028071202740689083,0.9996059261411554,-86.77641179003352,4.7831230091333055e-05,89.99355728457863,1.9999999999999993,2.0147036237143255e-15,1
52,13.167459428903667,80.0,-2.400580796420341e-15,0.9997325275314847,0.023127330055783782,5.7453325982962406e-12,1.9301205498125165e-08,-8.345878336620392e-07,0.9999999999996516,0.02312733005577573,-0.9997325275311364,-8.348109897440064e-07,4.173776160955536e-07,4.824187637154047e-09,0.01156443834596476,0.999933129646962,-88.67517776207609,4.783114641782049e-05,90.00039432076693,2.0,1.9802901108347324e-15,1
53,15.168722473326852,80.0,-2.344772192629705e-15,0.9999831164433685,0.005810923180415877,-2.4999565679081584e-12,4.853522609234198e-09,-8.34796908740976e-07,0.9999999999996517,0.0058109231804138505,-0.9999831164430201,-8.348110178471281e-07,4.1740374352122674e-07,1.214010765827611e-09,0.0029054738539166553,0.999995779101847,-89.66688517282711,4.783114800943622e-05,89.9998284198972,2.0,2.0125847411399667e-15,1
54,17.169985517750078,80.0,-2.457921763924013e-15,0.9999998202205528,0.0005996322722860661,7.717188785486206e-12,4.928624483146506e-10,-8.348108859871112e-07,0.9999999999996516,0.0005996322722858637,-0.9999998202202044,-8.348110314415013e-07,4.174054981729335e-07,1.212863203501418e-10,0.0002998161496182043,0.9999999550550501,-89.96617325509045,4.7831148805244084e-05,90.0005296556111,2.0,2.028071805586845e-15,1
55,19.171248562173304,80.0,-2.8725827632669003e-15,1.0,0.0,-1.6127895827198561e-16,1.6127895827192943e-16,-8.34811033755191e-07,0.9999999999996516,-1.3463745387799662e-22,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,8.063947913598579e-17,-3.365936347397848e-23,0.999999999999913,-89.99999998893091,4.783114891893092e-05,89.99999998893088,2.0,2.0088123203141563e-15,1
56,19.40555913964233,80.0,-2.7453864758356207e-15,1.0,0.0,-1.3985124409217711e-16,1.398512440921284e-16,-8.34811033755191e-07,0.9999999999996516,-1.1674936165253993e-22,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,6.992562204608248e-17,-2.9187340417019187e-23,0.999999999999913,-89.99999999040156,4.783114891893092e-05,89.99999999040153,2.1812256699876658,0.13162958724648957,1
57,21.172511606596515,80.0,-3.0947577971591417e-15,1.0,1.1934897670349448e-15,4.555862806891895e-15,-4.555861810551882e-15,-8.34811033755191e-07,0.9999999999996516,1.1934935703190685e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,-2.277931154361143e-15,5.967458343385556e-16,0.999999999999913,-90.00000031268353,4.783114891893092e-05,90.0000003126836,2.0,2.0102278077384043e-15,1
58,23.17377465101974,80.0,-3.3913622659448305e-15,1.0,1.1934897670349448e-15,4.547674866242272e-15,-4.547673869902262e-15,-8.34811033755191e-07,0.9999999999996516,1.1934935634836854e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,-2.273837184036332e-15,5.967458326297098e-16,0.999999999999913,-90.00000031212156,4.783114891893092e-05,90.00000031212164,2.0,2.0088123203141563e-15,1
59,25.175037695442967,80.0,-3.451295575400013e-15,1.0,-1.1344828604474452e-15,-4.5612335351491605e-15,4.5612325880687625e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866682151326e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.2806165308046797e-15,-5.67242382165694e-16,0.999999999999913,-89.99999968694786,4.783114891893092e-05,89.99999968694783,1.9999999999999993,1.944780412920468e-15,1
60,27.176300739866193,80.0,-3.9348910987812266e-15,1.0,-1.1344828604474452e-15,-4.569698655778213e-15,4.569697708697812e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866752819087e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.284849091119206e-15,-5.672423839323881e-16,0.999999999999913,-89.99999968636688,4.783114891893092e-05,89.99999968636678,2.0,2.0102278077384043e-15,0
61,29.17756378428941,80.0,-3.957611630960111e-15,1.0,-1.1344828604474452e-15,-4.580885955186721e-15,4.580885008106316e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866846211898e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.2904427408234593e-15,-5.672423862672084e-16,0.999999999999913,-89.99999968559906,4.783114891893092e-05,89.999999685599,1.9999999999999996,1.933779744124978e-15,0
62,31.14529293617323,80.00000000000004,1.6241099371619884e-13,1.0,-1.1344828604474452e-15,-4.583073510960586e-15,4.5830725638801805e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866864473854e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.291536518710392e-15,-5.672423867237573e-16,0.999999999999913,-89.99999968544891,4.783114891893092e-05,89.99999968544887,2.3820060624124335,0.2672497766743193,1
63,31.178826828712623,80.0,-4.133758122000143e-15,1.0,-1.1344828604474452e-15,-4.573042837528896e-15,4.573041890448493e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866780736686e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.286521181994547e-15,-5.67242384630328e-16,0.999999999999913,-89.99999968613736,4.783114891893092e-05,89.9999996861373,1.999999999999999,2.0411201962889075e-15,1
64,33.180089873135856,80.0,-4.67034389022863e-15,1.0,-1.1344828604474452e-15,-4.564888478180497e-15,4.564887531100098e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866712663194e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.282444002320348e-15,-5.672423829284908e-16,0.999999999999913,-89.99999968669702,4.783114891893092e-05,89.99999968669692,2.0,2.0088123203141563e-15,1
65,35.18135291755908,80.0,-4.953365961078499e-15,1.0,-1.1344828604474452e-15,-4.582104518295733e-15,4.582103571215327e-15,-8.34811033755191e-07,0.9999999999996516,-1.1344866856384597e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,2.2910520223779652e-15,-5.672423865215258e-16,0.999999999999913,-89.99999968551543,4.783114891893092e-05,89.99999968551538,2.0,2.0102278077384043e-15,1
66,37.182615961982265,80.0,-5.517691077729701e-15,1.0,-2.32797262748239e-15,-9.251532688468397e-15,9.251530745047937e-15,-8.34811033755191e-07,0.9999999999996516,-2.3279803507631464e-15,-0.9999999999996516,-8.34811033755191e-07,4.174055169331431e-07,4.6257658583794874e-15,-1.163988244561486e-15,0.999999999999913,-89.99999936503755,4.783114891893092e-05,89.99999936503741,2.0,1.977654993086179e-15,1
